stmt_id,date,amount,reference_number,narration,type
S00378,2026-07-08,880.0,pay_FmDRaTbMjiocL6,"NEFT-SBIN-pay_FmDRaTbMjiocL6-SHANKAR,KEERANDNAR",CREDIT
S00389,2026-07-08,13160.16,pay_mPfBhpIfBCkODm,"RAZORPAY SETTLEMENT/pay_mPfBhpIfBCkODm/MANE,DIXITANDBHAGA",CREDIT
S00002,2026-07-09,2382.91,pay_SDaYyHhgT8sUhj,NEFT-YESB-pay_SDaYyHhgT8sUhj-AGARWALLLC,CREDIT
S00028,2026-07-09,3932.49,pay_zNqd82DBjkbNoW,"IMPS/pay_zNqd82DBjkbNoW/SARIN,LOKEANDNAGY",CREDIT
S00063,2026-07-09,4727.79,pay_VPAzLtDIVjAysp,"RAZORPAY SETTLEMENT/pay_VPAzLtDIVjAysp/CHANA,TATAANDBORA",CREDIT
S00081,2026-07-09,5541.56,pay_O9zzoJ0joWLh0i,IMPS/pay_O9zzoJ0joWLh0i/THAKKAR-AGRAWAL,CREDIT
S00086,2026-07-09,23225.19,setl_J5FRB7lOCK8qPH,RAZORPAY SETTLEMENT setl_J5FRB7lOCK8qPH BATCH OF 4 TANK-CHANDRA,CREDIT
S00202,2026-07-09,4051.69,pay_PFSrhnjn5jDbfL,NEFT-KKBK-pay_PFSrhnjn5jDbfL-WASONLTD,CREDIT
S00212,2026-07-09,5423.58,pay_IiFcDeKmjjl3UR,"MERCHANT CR pay_IiFcDeKmjjl3UR SHANKER,SHAANDAHUJ CARD",CREDIT
S00282,2026-07-09,3003.42,pay_2RzSY0IvuvMDto,NEFT-YESB-pay_2RzSY0IvuvMDto-LOKELLC,CREDIT
S00366,2026-07-09,25391.81,pay_fS0GgKmpy0V89C,MERCHANT CR pay_fS0GgKmpy0V89C KATA-SESHADRI IMPS,CREDIT
S00374,2026-07-09,9060.01,pay_lJBMwfxDQi6O5g,UPI/pay_lJBMwfxDQi6O5g/SEKHON-NARAYANAN/PAYMENT,CREDIT
S00399,2026-07-09,7583.21,pay_lkzY1dEuMwpe6I,UPI/pay_lkzY1dEuMwpe6I/MANDAANDSONS/PAYMENT,CREDIT
S00004,2026-07-10,7377.95,pay_o3XvQfykP1670h,NEFT-HDFC-pay_o3XvQfykP1670h-TOOR-BAHRI,CREDIT
S00033,2026-07-10,12042.85,setl_hgF8xlRCZ4cSpM,"RAZORPAY SETTLEMENT setl_hgF8xlRCZ4cSpM BATCH OF 3 SINHA,DATTAAND",CREDIT
S00097,2026-07-10,6523.73,pay_ZUXqakkNziTqSq,"MERCHANT CR pay_ZUXqakkNziTqSq APTE,GARAANDDHILLO WALLET",CREDIT
S00186,2026-07-10,13513.98,pay_FVM9JWS7EmYf2p,MERCHANT CR pay_FVM9JWS7EmYf2p BUMBLLC NETBANKING,CREDIT
S00250,2026-07-10,13085.35,pay_1gY7buFGGMHJsX,NEFT-AXIS-pay_1gY7buFGGMHJsX-RAVELPLC,CREDIT
S00253,2026-07-10,3102.37,pay_BJqmCyuEpSGRCO,"IMPS/pay_BJqmCyuEpSGRCO/SANGHVI,KADAKIAAND",CREDIT
S00272,2026-07-10,5121.28,pay_BW6CPGC2yjoalL,"MERCHANT CR pay_BW6CPGC2yjoalL REDDY,GREWALANDOM CARD",CREDIT
S00297,2026-07-10,1914.28,pay_nBCN6vpnvjNnRj,"UPI/pay_nBCN6vpnvjNnRj/IYENGAR,MISTRYANDG/PAYMENT",CREDIT
S00349,2026-07-10,8577.25,pay_1oE83N6xsYlh8T,NEFT-KKBK-pay_1oE83N6xsYlh8T-ZACHARIA-SANGHA,CREDIT
S00407,2026-07-10,16030.8,pay_yxsWHBGaYDDpvz,MERCHANT CR pay_yxsWHBGaYDDpvz SEM-PALLA CARD,CREDIT
S00020,2026-07-11,1867.64,pay_ADGhLzfw0U4qOl,"RAZORPAY SETTLEMENT/pay_ADGhLzfw0U4qOl/MUNI,BORAHANDNAIDU",CREDIT
S00031,2026-07-11,5583.3,pay_OvjQJVOWlaLVvN,NEFT-SBIN-pay_OvjQJVOWlaLVvN-OAK-SAINI,CREDIT
S00053,2026-07-11,8288.27,pay_oHGpd92FUDnuIR,RAZORPAY SETTLEMENT/pay_oHGpd92FUDnuIR/BARAD-BERA,CREDIT
S00082,2026-07-11,4554.25,pay_oGJJR8Tfa9Qo1Y,"IMPS/pay_oGJJR8Tfa9Qo1Y/DAVE,BARADANDRAJAN",CREDIT
S00091,2026-07-11,12188.14,pay_X4LCTCRSzV2PrP,"MERCHANT CR pay_X4LCTCRSzV2PrP PANCHAL,PATLAANDMU IMPS",CREDIT
S00093,2026-07-11,4085.5,pay_f5hm4yveYZBsGV,UPI/pay_f5hm4yveYZBsGV/TAILORLLC/PAYMENT,CREDIT
S00127,2026-07-11,1347.53,pay_cdgggBtHDqVkkQ,"MERCHANT CR pay_cdgggBtHDqVkkQ PAREKH,KARANDGUPTA WALLET",CREDIT
S00157,2026-07-11,479.79,pay_ELdaT5JvgSRs0W,IMPS/pay_ELdaT5JvgSRs0W/BHALLA-SHARMA,CREDIT
S00273,2026-07-11,3608.15,pay_SDepF4TAjp4ior,"UPI/pay_SDepF4TAjp4ior/KADAKIA,RAMAANDKRI/PAYMENT",CREDIT
S00295,2026-07-11,29566.83,pay_bpcF468lK3WAUm,MERCHANT CR pay_bpcF468lK3WAUm MAHARAJINC NETBANKING,CREDIT
S00321,2026-07-11,1925.93,pay_CcJGUbpzKZ7zqJ,"RAZORPAY SETTLEMENT/pay_CcJGUbpzKZ7zqJ/DANI,KUMERANDNAYAR",CREDIT
S00096,2026-07-12,1853.62,pay_DLA05ANUlwxNCW,"UPI/pay_DLA05ANUlwxNCW/DESAI,GARGANDNAYAR/PAYMENT",CREDIT
S00114,2026-07-12,23271.13,pay_ijBNAREPqgQC34,"NEFT-YESB-pay_ijBNAREPqgQC34-SURESH,MUKHOPADHYA",CREDIT
S00124,2026-07-12,-616.49,pay_lrrtn3S20oEwF0,"REVERSAL/pay_lrrtn3S20oEwF0/CHANA,OAKANDLALL/REFUND",DEBIT
S00148,2026-07-12,5318.36,pay_4kOyytd99IKlHU,"IMPS/pay_4kOyytd99IKlHU/PATLA,MODIANDMORAR",CREDIT
S00243,2026-07-12,4185.33,pay_Bfr6I42tzoWHuy,NEFT-KKBK-pay_Bfr6I42tzoWHuy-BAWA-OM,CREDIT
S00284,2026-07-12,3776.47,pay_wKUJFZUggPnFpt,"MERCHANT CR pay_wKUJFZUggPnFpt DHALIWAL,SINGHANDD NEFT",CREDIT
S00351,2026-07-12,2822.48,pay_vOhS1tMqlZKjka,IMPS/pay_vOhS1tMqlZKjka/YADAVLLC,CREDIT
S00380,2026-07-12,1126.82,pay_N0Eml5kPYQl5yU,MERCHANT CR pay_N0Eml5kPYQl5yU AGGARWAL-GHOSE CARD,CREDIT
S00130,2026-07-13,11954.55,pay_HqyGo9yqeySvF0,"MERCHANT CR pay_HqyGo9yqeySvF0 PRADHAN,KURIANANDS NEFT",CREDIT
S00132,2026-07-13,2103.1,pay_Ts0kSCF,UPI/pay_Ts0kSCF/NATARAJANGROUP/PAYMENT,CREDIT
S00166,2026-07-13,4385.47,pay_QY2KsOf3RJmEJ7,IMPS/pay_QY2KsOf3RJmEJ7/MOHAN-BAJAJ,CREDIT
S00182,2026-07-13,5995.98,pay_MqOJIp8wHLK1zo,"MERCHANT CR pay_MqOJIp8wHLK1zo BUCH,SHETTYANDSETH UPI",CREDIT
S00235,2026-07-13,6154.98,pay_4Gf5XsNyooYw6E,RAZORPAY SETTLEMENT/pay_4Gf5XsNyooYw6E/SONI-MANE,CREDIT
S00239,2026-07-13,6749.12,pay_Ao2DfxaoZgvC6o,"UPI/pay_Ao2DfxaoZgvC6o/KOTHARI,HANDAANDSA/PAYMENT",CREDIT
S00256,2026-07-13,2928.17,pay_zADtuMuKvr6g4Z,MERCHANT CR pay_zADtuMuKvr6g4Z WASONLTD UPI,CREDIT
S00310,2026-07-13,9174.27,setl_Obea7QgXJvM6wu,RAZORPAY SETTLEMENT setl_Obea7QgXJvM6wu BATCH OF 4 KOSHY-BAHL,CREDIT
S00359,2026-07-13,2908.35,pay_eu2C8IK7WQ0WOv,"IMPS/pay_eu2C8IK7WQ0WOv/BIR,VALAANDNARANG",CREDIT
S00391,2026-07-13,5097.62,pay_judQQHv7Gws7SN,MERCHANT CR pay_judQQHv7Gws7SN GANESANGROUP CARD,CREDIT
S00001,2026-07-14,5248.69,pay_7siBp3eur2cRsb,"MERCHANT CR pay_7siBp3eur2cRsb CHHABRA,DATTAANDDH UPI",CREDIT
S00119,2026-07-14,5531.82,pay_jsiqmOPzl9L2iJ,"RAZORPAY SETTLEMENT/pay_jsiqmOPzl9L2iJ/SOM,MANGATANDBAWA",CREDIT
S00129,2026-07-14,1014.31,pay_NnvRvgjYNiHVlS,RAZORPAY SETTLEMENT/pay_NnvRvgjYNiHVlS/RASTOGILTD,CREDIT
S00137,2026-07-14,14999.56,pay_Q5HiYZspjqZfDd,UPI/pay_Q5HiYZspjqZfDd/MALL-BAHL/PAYMENT,CREDIT
S00187,2026-07-14,6929.52,pay_ock9UaI0t0cy1d,MERCHANT CR pay_ock9UaI0t0cy1d MITTERINC IMPS,CREDIT
S00214,2026-07-14,4126.64,pay_37EKetR0ReE9Oc,UPI/pay_37EKetR0ReE9Oc/SUNDARAMLLC/PAYMENT,CREDIT
S00217,2026-07-14,8058.02,pay_GDKc72W0hEKnkx,NEFT-YESB-pay_GDKc72W0hEKnkx-KEERLLC,CREDIT
S00309,2026-07-14,4611.66,pay_eI64PkBMAeOUwe,NEFT-AXIS-pay_eI64PkBMAeOUwe-GANGULY-YADAV,CREDIT
S00364,2026-07-14,539.6,pay_Uwb4at928y5NrQ,UPI/pay_Uwb4at928y5NrQ/RANGANATHAN-UPADHY/PAYMENT,CREDIT
S00016,2026-07-15,7618.23,pay_dhQFGHWdfjxwii,MERCHANT CR pay_dhQFGHWdfjxwii GOSWAMI-DASH IMPS,CREDIT
S00095,2026-07-15,18900.88,pay_sVOqYBCBxfhtGH,IMPS/pay_sVOqYBCBxfhtGH/DEWANLTD,CREDIT
S00133,2026-07-15,4292.52,fuT5zaluh,"UPI/fuT5zaluh/NARAYANAN,ZACHARIA/PAYMENT",CREDIT
S00134,2026-07-15,35026.6,pay_QFeROWedix2aNT,IMPS/pay_QFeROWedix2aNT/RAJALTD,CREDIT
S00135,2026-07-15,1355.46,pay_FleaUJcQxu3Cmy,RAZORPAY SETTLEMENT/pay_FleaUJcQxu3Cmy/WADHWA-CHAUDRY,CREDIT
S00145,2026-07-15,4824.97,pay_EZ7D3nKXr1aXCb,RAZORPAY SETTLEMENT/pay_EZ7D3nKXr1aXCb/TANK-ROY,CREDIT
S00167,2026-07-15,3779.82,pay_7ZjJdTNVFaTAav,"RAZORPAY SETTLEMENT/pay_7ZjJdTNVFaTAav/MISHRA,CHEEMAANDMA",CREDIT
S00200,2026-07-15,1223.46,pay_l7LxeDnmRH9L9m,UPI/pay_l7LxeDnmRH9L9m/KHARE-BHANDARI/PAYMENT,CREDIT
S00247,2026-07-15,1387.48,pay_gEdzYbtX0bxkwW,RAZORPAY SETTLEMENT/pay_gEdzYbtX0bxkwW/THAKKAR-DHAWAN,CREDIT
S00268,2026-07-15,6480.23,pay_xDILA0oM5spYfQ,IMPS/pay_xDILA0oM5spYfQ/PALPLC,CREDIT
S00298,2026-07-15,-1914.28,pay_nBCN6vpnvjNnRj,"REVERSAL/pay_nBCN6vpnvjNnRj/IYENGAR,MISTRYAN/REFUND",DEBIT
S00329,2026-07-15,2635.5,pay_pe42NwIrbF5KKk,IMPS/pay_pe42NwIrbF5KKk/SAMPATHLTD,CREDIT
S00363,2026-07-15,28096.52,pay_67TnjTs2hTcQeA,UPI/pay_67TnjTs2hTcQeA/KEERLTD/PAYMENT,CREDIT
S00045,2026-07-16,2916.87,pay_X1ALQjDMCE6b9e,UPI/pay_X1ALQjDMCE6b9e/BAJAJ-DUGAL/PAYMENT,CREDIT
S00062,2026-07-16,20658.68,QXF5kpeiap,"NEFT-YESB-QXF5kpeiap-SETHI,SHAHANDBUCH",CREDIT
S00106,2026-07-16,1878.41,pay_kaNmIBNsgiqXdK,RAZORPAY SETTLEMENT/pay_kaNmIBNsgiqXdK/PALANDSONS,CREDIT
S00136,2026-07-16,2185.46,pay_3VZ9BWLOS2xqz0,MERCHANT CR pay_3VZ9BWLOS2xqz0 CHOUDHRYGROUP NETBANKING,CREDIT
S00156,2026-07-16,23837.5,pay_bqt0g9KhPHdNiZ,"RAZORPAY SETTLEMENT/pay_bqt0g9KhPHdNiZ/GOLA,PRAKASHANDATW",CREDIT
S00181,2026-07-16,1215.54,pay_vbMV11brdYONmk,"IMPS/pay_vbMV11brdYONmk/BORDE,NAGARANDJAIN",CREDIT
S00240,2026-07-16,1826.75,pay_so0kuLJzWs8cHX,"NEFT-KKBK-pay_so0kuLJzWs8cHX-APTE,WARRIORANDSAM",CREDIT
S00255,2026-07-16,28625.05,pay_emngEDGaJSGIXA,"UPI/pay_emngEDGaJSGIXA/MANGAL,VORAANDRAMA/PAYMENT",CREDIT
S00258,2026-07-16,2469.35,pay_AiE6WtsnOagYjb,"IMPS/pay_AiE6WtsnOagYjb/SAMPATH,KRISHNANAN",CREDIT
S00317,2026-07-16,4056.35,pay_nys9rIq6F7ERRc,"NEFT-YESB-pay_nys9rIq6F7ERRc-CHAUDHARI,SETHIAND",CREDIT
S00342,2026-07-16,21828.02,pay_g5U7Ll9mAcyjHp,"IMPS/pay_g5U7Ll9mAcyjHp/RAMA,CHAKRABORTYAN",CREDIT
S00367,2026-07-16,9085.43,pay_3AAaTkz6RrKstJ,RAZORPAY SETTLEMENT/pay_3AAaTkz6RrKstJ/PALGROUP,CREDIT
S00039,2026-07-17,13709.59,pay_vYdzxZ2hvmfGTS,"NEFT-YESB-pay_vYdzxZ2hvmfGTS-VORA,KOSHYANDRANA",CREDIT
S00098,2026-07-17,-6523.73,pay_ZUXqakkNziTqSq,"REVERSAL/pay_ZUXqakkNziTqSq/APTE,GARAANDDHIL/REFUND",DEBIT
S00198,2026-07-17,1604.76,pay_awxj5S0Z5lqDte,MERCHANT CR pay_awxj5S0Z5lqDte BHATIA-KAKAR NEFT,CREDIT
S00244,2026-07-17,8382.77,pay_6Ujx6G10CSk3by,"NEFT-SBIN-pay_6Ujx6G10CSk3by-CHAR,HEGDEANDRAI",CREDIT
S00267,2026-07-17,25527.71,pay_gvckfryvJsRRlo,NEFT-YESB-pay_gvckfryvJsRRlo-BHATNAGARLLC,CREDIT
S00279,2026-07-17,6109.01,pay_21UfxAPOlweD3G,MERCHANT CR pay_21UfxAPOlweD3G PANDITINC CARD,CREDIT
S00290,2026-07-17,4004.4,pay_xx8HQXg5Z4by8L,"MERCHANT CR pay_xx8HQXg5Z4by8L YADAV,PALLAANDKANN WALLET",CREDIT
S00316,2026-07-17,3019.01,pay_jFbAKYgg9PgZwx,"MERCHANT CR pay_jFbAKYgg9PgZwx PALL,EDWINANDGOLA WALLET",CREDIT
S00348,2026-07-17,3490.84,pay_8CcCD20eetN8JD,"RAZORPAY SETTLEMENT/pay_8CcCD20eetN8JD/SWAMY,CHOPRAANDMIS",CREDIT
S00027,2026-07-18,5367.05,pay_PNe1g5iJi36JN3,UPI/pay_PNe1g5iJi36JN3/SANGHVI-NARASIMHAN/PAYMENT,CREDIT
S00047,2026-07-18,11316.87,pay_ZMVqk05Bs2T5Bj,MERCHANT CR pay_ZMVqk05Bs2T5Bj DAVE-SAXENA UPI,CREDIT
S00085,2026-07-18,6511.22,pay_mEsoOsGeg39nWP,IMPS/pay_mEsoOsGeg39nWP/HALDERLTD,CREDIT
S00105,2026-07-18,1635.65,pay_ThIiVg8xwHFeoe,IMPS/pay_ThIiVg8xwHFeoe/GOPALPLC,CREDIT
S00245,2026-07-18,12460.63,pay_GTQI99OlzCoPY1,NEFT-YESB-pay_GTQI99OlzCoPY1-TALWAR-KANNAN,CREDIT
S00246,2026-07-18,6859.6,pay_6tqCmaShHB8KZC,IMPS/pay_6tqCmaShHB8KZC/KOSHY-KAKAR,CREDIT
S00299,2026-07-18,1475.21,pay_BUaoMHWULMMWhA,RAZORPAY SETTLEMENT/pay_BUaoMHWULMMWhA/KUMERLLC,CREDIT
S00369,2026-07-18,26079.74,pay_sMXgDlQF3WIn7W,MERCHANT CR pay_sMXgDlQF3WIn7W DANIGROUP WALLET,CREDIT
S00402,2026-07-18,27698.92,pay_JLRsoVKWU9arCg,IMPS/pay_JLRsoVKWU9arCg/BORRAINC,CREDIT
S00222,2026-07-19,60329.2,3j94i7L27GA,"IMPS/3j94i7L27GA/SEKHON,SANKARANDBA",CREDIT
S00223,2026-07-19,5509.37,pay_wAdLHfuk0cXPqS,"UPI/pay_wAdLHfuk0cXPqS/CHAWLA,SAXENAANDCH/PAYMENT",CREDIT
